ID,Lat,Long,Elevation,Host,Estimate_Height
G1,18.11265,-66.05251,896.31,Eucalyptus robusta,5
G2,18.11269,-66.05253,897.01,Eucalyptus robusta,5
G3,18.11287,-66.05258,898.98,Eucalyptus robusta,5
G4,18.11261,-66.05244,894.16,Eucalyptus robusta,2.5
G5,18.11254,-66.05244,893.39,Eucalyptus robusta,7
G6,18.11239,-66.0523,893.91,Eucalyptus robusta,1.5
G7,18.11229,-66.05219,828.9,Eucalyptus robusta,2
G8,18.11126,-66.05069,892.97,Crysophyllum oliviforme,3
G9,18.11124,-66.05073,891.72,Dead Tree,1
G10,18.11126,-66.05069,891.91,Crysophyllum oliviforme,10
G11,18.11122,-66.05067,891.7,Crysophyllum oliviforme,6
G12,18.11259,-66.05184,870.28,Crysophyllum oliviforme,2
G13,18.11257,-66.0518,866.16,Crysophyllum oliviforme,9
G14,18.11257,-66.05182,868.71,Crysophyllum oliviforme,12
G15,18.11253,-66.05207,879.89,Crysophyllum oliviforme,2
G16,18.112553,-66.052055,881.57,Crysophyllum oliviforme,3
G17,18.112442,-66.052078,886.76,Crysophyllum oliviforme,10
G18,18.112461,-66.052131,887.49,Crysophyllum oliviforme,10
G19,18.113925,-66.051811,884.3,Crysophyllum oliviforme,1
G20,18.113922,-66.051811,883.59,Cyathea arborea,2
G21,18.113936,-66.051803,883.39,Crysophyllum oliviforme,1
G22,18.113917,-66.051811,885.88,Cyathea arborea,1
Gp,18.112811,-66.051933,885.88,Dead Tree,
G23,18.112639,-66.05262,897.77,Dead Tree,1
G24,18.1109,-66.050942,888.65,Dead Tree,7
G25,18.110889,-66.050933,884.53,Dead Tree,5
G26,18.110811,-66.050986,885.46,Dead Tree,1
G27,18.110839,-66.051042,885.6,Dead Tree,3
G28,18.110928,-66.051047,891.64,Dead Tree,6
G29,18.110922,-66.051086,893.7,unknown,1
G30,18.110911,-66.051086,892.34,Dead Tree,3
G31,18.11073,-66.051064,885.3,unknown,2
G32,18.11055,-66.051055,880.84,Dead Tree,7
G33,18.11062,-66.050986,877.7,Crysophyllum oliviforme,4
G34,18.110603,-66.051011,883.66,Dead Tree,1
G35,18.110706,-66.050964,881.73,Dead Tree,2
G36,18.110742,-66.050842,878.55,Dead Tree,4
G37,18.110695,-66.050872,877.41,Crysophyllum oliviforme,3
G38,18.110672,-66.05085,874.23,Dead Tree,5
G39,18.110753,-66.050858,887.57,Crysophyllum oliviforme,7
G40,18.110814,-66.050767,879.6,Prestoea acuminata var montana,1
G41,18.110811,-66.050736,877.42,Dead Tree,8
G42,18.11082,-66.050714,873.39,Dead Tree,1
G43,18.11082,-66.050683,875.77,Crysophyllum oliviforme,4
G44,18.110814,-66.050683,876.37,Dead Tree,7
G45,18.110864,-66.05075,881.64,Dead Tree,3
G46,18.110972,-66.050736,881.69,Crysophyllum oliviforme,14
G47,18.110947,-66.050728,880.83,Crysophyllum oliviforme,12
G48,18.107745,-66.048705,887.6,Dead Tree,4
G49,18.10763,-66.048828,899.48,Dead Tree,6
G50,18.11048,-66.05116,879.32,no host,1
G51,18.11048,-66.05116,887.09,Dead Tree,10
G52,18.11046,-66.05112,877.37,Dead Tree,1
G53,18.1102,-66.051292,884.68,Crysophyllum oliviforme,5
G54,18.11018,-66.05133,881.08,Crysophyllum oliviforme,4
G55,18.11023,-66.051317,882.11,Cyathea arborea,1
G56,18.109953,-66.051195,885.09,Crysophyllum oliviforme,2
G57,18.112508,-66.05252,901.86,Dead Tree,1
G58,18.112103,-66.053558,863.09,Crysophyllum oliviforme,4
G59,18.11207,-66.053514,865,no host,1
G60,18.11509,-66.05012,873.47,Dead Tree,6
G61,18.11113,-66.05094,893.71,Dead Tree,6
G62,18.11113,-66.05081,889.62,Dead Tree,1
G63,18.110844,-66.051047,884.36,Crysophyllum oliviforme,4
G64,18.10965,-66.05032,863.71,Crysophyllum oliviforme,4
G65,18.112553,-66.052055,881.57,Dead Tree,2
G66,18.110242,-66.051405,882.33,Crysophyllum oliviforme,4
G67,18.1109,-66.05103,896.98,no host,0
G68,18.112645,-66.052642,893.39,Eucalyptus robusta,6
G69,18.112653,-66.052642,893.39,Dead Tree,7
G71,18.110653,-66.050925,876.03,Prestoea acuminata var montana,4
G72,18.111383,-66.050622,885.3,no host,0
G73,18.110895,-66.051042,893.11,Dead Tree,2
G74,18.11112,-66.050697,892.75,Prestoea acuminata var montana,2.5
G75,18.111136,-66.050706,890.83,no host,0
G76,18.111125,-66.050714,891.65,Cyathea arborea,1
G77,18.111233,-66.05076,892.95,Cyathea arborea,2.55
G78,18.111378,-66.050597,889.08,Micropholis guyanensis,3
G79,18.11132,-66.050622,887,no host,0
G80,18.111371,-66.050607,889.6,Dead Tree,5
G81,18.111369,-66.050606,889.62,Dead Tree,7.8
G82,18.111294,-66.050522,885.62,Micropholis guyanensis,8.7
G83,18.111272,-66.050536,883.7,Crysophyllum oliviforme,7.6
G84,18.111233,-66.050561,881.49,Crysophyllum oliviforme,3.6
GCA1,18.09554,-66.02447,607.01,Crysophyllum oliviforme,8
GCA2,18.095511,-66.024353,624.29,Crysophyllum oliviforme,8
GCA3,18.0955,-66.024361,620.02,Crysophyllum oliviforme,3
GCA4,18.095483,-66.024375,607.01,Crysophyllum oliviforme,10
