location,genero,especie,categoria_riesgo_binomial,sepal_w_cv_corrected,sepal_l_cv_corrected,petal_w_cv_corrected,petal_l_cv_corrected,labellum_w_cv_corrected,labellum_l_cv_corrected,column_l_cv_corrected,flower_stem_cv_corrected,dorsal_sepal_cv_corrected,lip_w_cv_corrected,lip_l_cv_corrected
Caribbean,Dendrophylax,alcoa,Vulnerable,NA,NA,NA,0.018154762,NA,NA,NA,NA,NA,NA,NA
Caribbean,Dendrophylax,constanzense,Vulnerable,NA,NA,NA,0.017528736,NA,NA,NA,NA,NA,NA,NA
Caribbean,Dendrophylax,helorrhiza,Vulnerable,0.114784946,0.133187773,0.114784946,0.063541667,0.127083333,0.081989247,NA,NA,NA,NA,NA
Caribbean,Dendrophylax,macrocarpa,Vulnerable,0.101666667,0.040666667,0.101666667,NA,NA,NA,-0.081989247,NA,NA,NA,NA
Caribbean,Dilomilis,bissei,Vulnerable,0.033888889,0.042361111,0.033888889,0.025,NA,0.017732558,NA,NA,NA,NA,NA
Caribbean,Dilomilis,scirpoidea,Vulnerable,0.01037415,0.041077441,0.01037415,0.029901961,0.068693694,0.080263158,0.00736715,NA,NA,NA,NA
Caribbean,Domingoa,nodosa,Vulnerable,NA,NA,NA,0.017528736,0.050833333,0.01882716,0.039102564,NA,NA,NA,NA
Caribbean,Eltropectris,calcarata,Vulnerable,NA,NA,NA,0.025416667,NA,NA,NA,NA,NA,NA,NA
Caribbean,Encyclia,grisebachia,Vulnerable,0.072619048,0.063541667,0.072619048,0.037195122,NA,NA,NA,NA,NA,NA,NA
Caribbean,Epidendrum,bahorucense,Vulnerable,0.056481481,0.093846154,0.056481481,0.050833333,0.046212121,NA,NA,NA,NA,NA,NA
Caribbean,Epidendrum,crenulifforme,Vulnerable,0.039102564,0.011821705,0.039102564,0.009591195,0.052586207,0.080263158,0.056481481,NA,NA,NA,NA
Caribbean,Epidendrum,dodii,Vulnerable,0.026754386,0.059803922,0.026754386,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean,Epidendrum,zanonii,Vulnerable,0.056481481,0.207954545,0.056481481,0.046212121,0.101666667,0.026068376,0.056481481,NA,NA,NA,NA
Caribbean,Eurystyles,alticola,Vulnerable,0.072619048,0.035057471,0.072619048,NA,0.101666667,0.050833333,NA,NA,NA,NA,NA
Caribbean,Lepanthes,cassicula,Vulnerable,0.036309524,0.016464238,0.036309524,0.056481481,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthes,constanzae,Vulnerable,0.169444444,0.162666667,0.169444444,0.169444444,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthes,cryptantha,Vulnerable,0.101666667,0.094573643,0.101666667,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthes,domingensis,Vulnerable,0.043571429,0.051346801,0.043571429,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthes,eltoroensis,Vulnerable,0.127083333,0.065591398,0.127083333,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthes,rudipetala,Vulnerable,0.082751938,0.082751938,0.082751938,0.046212121,NA,0.072619048,NA,NA,NA,NA,NA
Caribbean,Lepanthes,teretipetala,Vulnerable,0.056481481,0.033888889,0.056481481,0.169444444,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthopsis,aristata,Vulnerable,NA,NA,NA,NA,NA,0.046212121,0.101666667,NA,NA,NA,NA
Caribbean,Lepanthopsis,atrosetifera,Vulnerable,NA,NA,NA,NA,NA,NA,0.117307692,NA,NA,NA,NA
Caribbean,Lepanthopsis,moniliformis,Vulnerable,0.046212121,0.029901961,0.046212121,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean,Lepanthopsis,stellaris,Vulnerable,NA,NA,NA,NA,NA,NA,0.056481481,NA,NA,NA,NA
Caribbean,Ornithidium,donaldeedodii,Vulnerable,0.046212121,0.040184453,0.046212121,0.013034188,NA,NA,NA,NA,NA,NA,NA
Caribbean,Pleurothallis,alainii,Vulnerable,0.046212121,0.070114943,0.046212121,0.072619048,NA,NA,NA,NA,NA,NA,NA
Caribbean,Pleurothallis,ciliifera,Vulnerable,NA,NA,NA,NA,0.101666667,0.026754386,NA,NA,NA,NA,NA
Caribbean,Pleurothallis,cymbiformis,Vulnerable,NA,NA,NA,0.046212121,NA,NA,NA,NA,NA,NA,NA
Caribbean,Pleurothallis,Jesupii,Vulnerable,0.029901961,0.026406926,0.029901961,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean,Pleurothallis,miguelii,Vulnerable,0.072619048,0.254166667,0.072619048,0.117307692,0.169444444,0.072619048,0.101666667,NA,NA,NA,NA
Caribbean,Pleurothallis,spiloporphyrea,Vulnerable,0.026754386,0.047286822,0.026754386,0.101666667,NA,0.022101449,NA,NA,NA,NA,NA
Caribbean,Psychilis,dodii,Vulnerable,0.084722222,0.070601852,0.084722222,NA,0.049193548,0.06469697,0.117307692,NA,NA,NA,NA
Caribbean,Psychilis,domingensis,Vulnerable,0.067138365,0.125128205,0.067138365,0.096825397,NA,NA,0.106135531,NA,NA,NA,NA
Caribbean,Psychilis,rubeniana,Vulnerable,0.190625,0.046743295,0.190625,0.066304348,NA,NA,0.046212121,NA,NA,NA,NA
Caribbean,Psychilis,truncata tubichila,Vulnerable,0.101666667,0.116666667,0.101666667,0.112962963,NA,NA,0.084722222,NA,NA,NA,NA
Caribbean,Psychilis,vernicosa,Vulnerable,0.145238095,0.057116105,0.145238095,0.020333333,NA,NA,0.016397849,NA,NA,NA,NA
Caribbean,Quisqueya,karstii,Vulnerable,0.169444444,0.040666667,0.169444444,0.032446809,NA,NA,NA,NA,NA,NA,NA
Caribbean,Quisqueya,rosea,Vulnerable,NA,NA,NA,0.072619048,NA,NA,NA,NA,NA,NA,NA
Caribbean,Tetramicra,zanonii,Vulnerable,NA,NA,NA,NA,NA,0.01882716,NA,NA,NA,NA,NA
Caribbean,Tolumnia,arizajuliana,Vulnerable,NA,NA,NA,0.016397849,NA,NA,NA,NA,NA,NA,NA
Caribbean,Tolumnia,caribensis,Vulnerable,0.072619048,0.031770833,0.072619048,0.056481481,NA,0.072619048,0.033888889,NA,NA,NA,NA
Caribbean,Tolumnia,gundlachii,Vulnerable,0.084722222,0.038510101,0.084722222,0.029901961,NA,NA,NA,NA,NA,NA,NA
Caribbean,Tolumnia,henekenii,Vulnerable,0.101666667,NA,0.101666667,0.024206349,0.056481481,0.033888889,NA,NA,NA,NA,NA
Caribbean,Tolumnia,tuerckheimii,Vulnerable,0.01882716,0.072619048,0.01882716,0.068693694,0.072619048,0.07570922,NA,NA,NA,NA,NA
Caribbean,Tolumnia,usneoides,Vulnerable,0.056481481,0.127083333,0.056481481,0.112962963,0.029901961,0.110507246,NA,NA,NA,NA,NA
Caribbean,trichopilia,fragrans,Vulnerable,0.084722222,0.026068376,0.084722222,0.016397849,0.063541667,0.025847458,0.087643678,NA,NA,NA,NA
Vietnam,Paphiopedilum,maliponse Var. Malipoense,Vulnerable,0.217857143,0.134558824,0.217857143,0.141966967,0.088405797,0.092424242,NA,NA,NA,NA,NA
Vietnam,Paphiopedilum,micranthum,Vulnerable,0.140602837,0.222395833,0.140602837,0.196774194,0.124259259,0.178246753,0.056481481,NA,NA,NA,NA
Vietnam,Paphiopedilum,emersonii,Vulnerable,NA,NA,NA,NA,0.101666667,NA,0.056481481,NA,NA,NA,NA
Vietnam,Paphiopedilum,barbiherum Var. Lockianum,Vulnerable,NA,NA,NA,NA,0.039102564,NA,0.050833333,NA,NA,NA,NA
Vietnam,Paphiopedilum,tranlienianum,Vulnerable,NA,NA,NA,0.031770833,NA,0.013377193,0.056481481,NA,NA,NA,NA
Vietnam,Paphiopedilum,helenae,Vulnerable,0.169444444,0.171122112,0.169444444,NA,0.072619048,0.101666667,0.046212121,NA,NA,NA,NA
Vietnam,Paphiopedilum,henryanum,Vulnerable,0.04765625,0.022262774,0.04765625,0.01452381,0.025416667,0.038125,NA,NA,NA,NA,NA
Vietnam,Paphiopedilum,gratrixianum,Vulnerable,0.011296296,0.020962199,0.011296296,0.036683849,0.039102564,0.012398374,0.046212121,NA,NA,NA,NA
Vietnam,Paphiopedilum,callosum,Vulnerable,0.089705882,0.078205128,0.089705882,0.098099415,0.056481481,0.139975845,NA,NA,NA,NA,NA
Vietnam,Paphiopedilum,purpuratum,Vulnerable,0.164230769,0.079427083,0.164230769,0.069032922,0.07570922,0.072619048,NA,NA,NA,NA,NA
Vietnam,Paphiopedilum,aspersum,Vulnerable,0.084722222,0.084722222,0.084722222,0.029901961,NA,NA,NA,NA,NA,NA,NA
Australia,Arachnorchis,argocalla,Vulnerable,NA,NA,NA,NA,NA,NA,NA,0.169444444,0.029901961,NA,NA
Australia,Arachnorchis,audassi,Vulnerable,NA,NA,NA,NA,NA,NA,NA,0.072619048,0.039102564,0.063541667,0.072619048
Australia,Arachnorchis,behrii,Vulnerable,NA,NA,NA,NA,NA,NA,NA,0.169444444,0.072619048,0.039102564,0.063541667
Australia,Arachnorchis,clavigera,Vulnerable,NA,NA,NA,NA,NA,NA,NA,0.169444444,NA,0.056481481,0.061
Australia,Prasophyllum,fosteri,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.039102564,0.026754386,0.046212121
Australia,Prasophyllum,affine,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.033888889,0.089705882,0.072619048
Australia,Prasophyllum,amoenum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.01037415,0.039102564,0.042361111
Australia,Prasophyllum,australe,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.072619048,0.117307692,0.080263158
Australia,Prasophyllum,campestre,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.008615819,0.033888889,0.072619048
Australia,Prasophyllum,castaneum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.006434599,0.026754386,0.036309524
Australia,Prasophyllum,constrictum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.00736715,0.063541667,0.063541667
Australia,Prasophyllum,exilis,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.013034188,0.008615819,0.061
Australia,Prasophyllum,goldsackii,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.056481481,0.072619048,0.029901961
Australia,Prasophyllum,litorale,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.063541667,0.066304348,0.039102564
Australia,Prasophyllum,milfordense,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.033888889,0.033888889,0.029901961
Australia,Prasophyllum,occultans,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.046212121,0.039102564,0.050833333
Australia,Prasophyllum,pallidum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.046212121,0.039102564,0.050833333
Australia,Prasophyllum,perangustum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.008615819,0.052586207,0.039102564
Australia,Prasophyllum,pruinosum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.006434599,0.033888889,0.033888889
Australia,Prasophyllum,pulchellum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.000848637,0.039102564,0.039102564
Australia,Prasophyllum,retroflexum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.046212121,0.039102564,0.029901961
Australia,Prasophyllum,robustum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.00513468,0.042361111,0.042361111
Australia,Prasophyllum,spicatum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.101666667,0.046212121,0.089705882
Australia,Prasophyllum,stellatum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.006434599,0.024206349,0.039102564
Australia,Prasophyllum,suaveolens,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.035465116,0.101666667,0.101666667
Australia,Prasophyllum,tadgellianum,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.031122449,0.01037415,0.00571161
Australia,Prasophyllum,taphanyx,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.01037415,0.036309524,0.017528736
Australia,Prasophyllum,tunbridgense,Vulnerable,NA,NA,NA,NA,NA,NA,NA,NA,0.029901961,0.022101449,0.072619048
