id,texto
1,"""Puedo"" ""escribir"" ""los"" ""versos"" ""más"" ""tristes"" ""esta"" ""noche."""
2,"""Es"" ""tan"" ""corto"" ""el"" ""amor,"" ""y"" ""es"" ""tan"" ""largo"" ""el"" ""olvido."""
3,"""Me"" ""gustas"" ""cuando"" ""callas"" ""porque"" ""estás"" ""como"" ""ausente."""
4,"""Para"" ""que"" ""nada"" ""nos"" ""separe"" ""que"" ""nada"" ""nos"" ""una."""
5,"""En"" ""un"" ""beso"" ""sabrás"" ""todo"" ""lo"" ""que"" ""he"" ""callado."""
6,"""Te"" ""amo"" ""como"" ""se"" ""aman"" ""ciertas"" ""cosas"" ""oscuras."""
7,"""Quiero"" ""hacer"" ""contigo"" ""lo"" ""que"" ""la"" ""primavera"" ""hace"" ""con"" ""los"" ""cerezos."""
8,"""Algún"" ""día"" ""en"" ""cualquier"" ""parte,"" ""en"" ""cualquier"" ""lugar,"" ""indefectiblemente"" ""te"" ""encontrarás"" ""a"" ""ti"" ""mismo."""
9,"""Si"" ""nada"" ""nos"" ""salva"" ""de"" ""la"" ""muerte,"" ""al"" ""menos"" ""que"" ""el"" ""amor"" ""nos"" ""salve"" ""de"" ""la"" ""vida."""
10,"""Podrán"" ""cortar"" ""todas"" ""las"" ""flores,"" ""pero"" ""no"" ""podrán"" ""detener"" ""la"" ""primavera."""
